date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,5.12,0.01,0.42,0.31,0.15,0.06,0.16,0.14,0.01,0,0.03,0,5.11,0.0,0.1,0.0,5.22,0,-923.2,0,0.0
Feb 2016,144.93,0.15,13.55,12.65,0.15,0.06,0.16,0.14,0.21,0,0.88,0,144.58,0.08,0.1,0.0,144.76,0,-923.18,0,0.0200000000000955
Mar 2016,27.35,0.03,2.87,2.58,0.17,0.06,0.4,0.25,0.04,0,0.19,0,27.28,0.02,0.26,0.01,27.57,0,-922.11,0,1.0699999999999399
Apr 2016,1.93,0.0,0.84,0.06,0.78,0.06,6.55,3.06,0.0,0,0.05,0,1.92,0.0,4.22,0.34,6.49,0,-922.04,0,0.07000000000005001
May 2016,6.75,0.01,0.32,0.06,0.31,0.06,7.77,3.26,0.01,0,0.02,0,6.73,0.0,4.76,0.41,11.91,0,-925.81,0,-3.7699999999999796
Jun 2016,93.74,0.1,5.78,4.51,1.02,0.06,8.62,4.02,0.13,0,0.38,0,93.51,0.03,5.57,0.5,99.61,0,-930.71,0,-4.90000000000009
Jul 2016,489.07,0.5,30.63,28.32,0.71,0.06,5.63,2.64,0.7,0,2.0,0,487.86,0.17,3.63,0.43,492.1,0,-935.3,0,-4.58999999999992
Aug 2016,388.39,0.4,23.27,21.38,0.7,0.06,5.55,2.61,0.55,0,1.52,0,387.44,0.13,3.59,0.38,391.53,0,-936.02,0,-0.720000000000027
Sep 2016,808.16,0.83,71.86,67.34,0.32,0.06,1.85,0.92,1.15,0,4.68,0,806.17,0.4,1.2,0.3,808.08,0,-937.27,0,-1.25
Oct 2016,40.49,0.04,3.99,3.09,0.72,0.06,5.7,2.68,0.06,0,0.26,0,40.39,0.02,3.68,0.24,44.34,0,-932.67,0,4.60000000000002
Nov 2016,5.6,0.01,0.93,0.74,0.19,0.06,0.55,0.32,0.01,0,0.06,0,5.58,0.01,0.36,0.02,5.96,0,-935.61,0,-2.94000000000005
Dec 2016,21.41,0.02,3.41,3.1,0.15,0.06,0.16,0.14,0.03,0,0.22,0,21.35,0.02,0.1,0.0,21.48,0,-935.79,0,-0.17999999999995
