date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,156.02,6.26,32.88,139.17,5.87,109.25,0.22,0.03,6.7,0,3.17,0,143.06,0.18,4.74,0.0,147.98,1396.75,9803.37,0.0,0.0
Feb 2016,71.17,2.85,36.56,58.99,5.87,29.16,0.22,0.03,3.06,0,3.52,0,65.26,0.2,4.74,0.0,70.2,1288.82,9813.05,-107.93,9.67999999999847
Mar 2016,205.38,8.24,46.36,47.97,5.88,3.97,0.22,0.03,8.82,0,4.46,0,188.32,0.25,4.74,0.0,193.31,1260.98,9819.44,-27.8399999999999,6.39000000000124
Apr 2016,54.32,2.18,92.85,46.98,40.19,1.57,0.22,0.03,2.33,0,8.94,0,49.81,0.5,5.07,1.71,57.09,1258.34,9832.53,-2.6400000000001,13.0900000000001
May 2016,105.77,4.24,390.8,271.57,94.03,10.28,0.22,0.03,4.54,0,37.63,0,96.98,2.1,16.58,11.74,127.41,1292.07,9841.91,33.73,9.3799999999992
Jun 2016,17.15,0.69,280.28,163.45,108.6,19.58,0.22,0.03,0.74,0,26.99,0,15.73,1.51,28.87,15.55,61.66,1359.42,9872.16,67.35000000000011,30.25
Jul 2016,419.92,16.84,90.91,60.03,59.94,21.46,0.22,0.03,18.03,0,8.75,0,385.04,0.49,31.37,16.27,433.17,1419.75,9884.14,60.32999999999989,11.979999999999599
Aug 2016,461.5,18.51,65.53,81.2,42.72,46.54,0.22,0.03,19.82,0,6.31,0,423.18,0.35,25.72,13.82,463.06,1427.05,9894.46,7.29999999999995,10.3199999999997
Sep 2016,494.49,19.83,66.82,86.78,27.02,33.95,0.22,0.03,21.23,0,6.43,0,453.42,0.36,16.78,10.64,481.2,1397.7,9906.59,-29.3499999999999,12.130000000000999
Oct 2016,251.35,10.08,58.07,68.39,7.58,13.73,0.22,0.03,10.79,0,5.59,0,230.48,0.31,5.71,3.24,239.73,1374.18,9923.42,-23.52,16.8299999999999
Nov 2016,534.5,21.44,47.1,68.3,5.88,10.43,0.22,0.03,22.95,0,4.54,0,490.11,0.25,4.74,0.0,495.11,1362.51,9936.38,-11.6700000000001,12.959999999999098
Dec 2016,81.82,3.28,42.45,96.92,5.88,61.39,0.22,0.03,3.51,0,4.09,0,75.03,0.23,4.75,0.0,80.0,1353.41,9963.68,-9.09999999999991,27.300000000001102
Jan 2017,365.64,14.66,40.05,50.6,5.89,5.85,0.22,0.03,15.7,0,3.86,0,335.28,0.22,4.75,0.0,340.24,1293.35,9971.1,-60.0600000000002,7.42000000000007
Feb 2017,150.27,6.03,50.58,74.75,5.89,29.17,0.22,0.03,6.45,0,4.87,0,137.79,0.27,4.75,0.0,142.81,1288.82,9990.46,-4.529999999999969,19.359999999998802
Mar 2017,292.48,11.73,87.48,88.4,5.89,3.97,0.22,0.03,12.56,0,8.42,0,268.19,0.47,4.75,0.0,273.41,1260.98,10001.6,-27.8399999999999,11.1400000000012
Apr 2017,165.89,6.65,167.41,118.75,39.63,1.34,0.22,0.03,7.12,0,16.12,0,152.11,0.9,4.76,0.83,158.6,1258.34,10022.39,-2.6400000000001,20.7899999999991
May 2017,161.38,6.47,344.9,232.03,94.96,10.68,0.22,0.03,6.93,0,33.21,0,147.97,1.85,17.11,12.42,179.36,1292.07,10044.62,33.73,22.230000000001397
Jun 2017,65.14,2.61,321.8,204.17,105.98,18.45,0.22,0.03,2.8,0,30.99,0,59.73,1.73,27.39,15.02,103.86,1359.42,10072.15,67.35000000000011,27.529999999998804
Jul 2017,401.85,16.12,73.38,44.84,57.68,20.49,0.22,0.03,17.25,0,7.07,0,368.48,0.39,30.08,15.72,414.67,1419.75,10090.72,60.32999999999989,18.5699999999997
Aug 2017,444.56,17.83,43.68,59.59,44.99,47.52,0.22,0.03,19.09,0,4.21,0,407.64,0.23,27.01,14.19,449.08,1427.05,10099.14,7.29999999999995,8.420000000000071
Sep 2017,361.97,14.52,32.95,49.71,29.37,34.96,0.22,0.03,15.54,0,3.17,0,331.91,0.18,18.12,10.52,360.73,1397.7,10108.05,-29.3499999999999,8.90999999999985
Oct 2017,488.1,19.58,30.19,53.81,5.9,13.0,0.22,0.03,20.96,0,2.91,0,447.57,0.16,4.75,0.35,452.84,1374.18,10116.06,-23.52,8.01000000000022
Nov 2017,246.87,9.9,38.58,49.1,5.9,10.44,0.22,0.03,10.6,0,3.71,0,226.37,0.21,4.75,0.0,231.33,1362.51,10139.38,-11.6700000000001,23.3199999999997
Dec 2017,54.77,2.2,31.66,86.13,5.9,61.39,0.22,0.03,2.35,0,3.05,0,50.22,0.17,4.75,0.0,55.14,1353.41,10153.51,-9.09999999999991,14.130000000000999
Jan 2018,157.31,6.31,31.41,34.49,5.9,5.86,0.22,0.03,6.75,0,3.02,0,144.24,0.17,4.75,0.0,149.16,1293.35,10158.72,-60.0600000000002,5.2099999999991295
Feb 2018,75.88,3.04,33.13,56.08,5.9,29.18,0.22,0.03,3.26,0,3.19,0,69.58,0.18,4.75,0.0,74.52,1288.82,10168.31,-4.529999999999969,9.59000000000015
Mar 2018,434.15,17.41,44.26,55.25,5.9,3.98,0.22,0.03,18.64,0,4.26,0,398.1,0.24,4.76,0.0,403.09,1260.98,10174.57,-27.8399999999999,6.260000000000219
Apr 2018,107.26,4.3,98.8,54.7,39.74,1.38,0.22,0.03,4.61,0,9.51,0,98.35,0.53,4.82,0.95,104.66,1258.34,10197.28,-2.6400000000001,22.710000000000896
May 2018,114.53,4.59,163.94,65.89,97.95,11.97,0.22,0.03,4.92,0,15.79,0,105.02,0.88,18.81,13.06,137.77,1292.07,10210.26,33.73,12.979999999999599
Jun 2018,89.25,3.58,93.29,19.11,84.05,15.77,0.22,0.03,3.83,0,8.98,0,81.84,0.5,23.48,14.98,120.8,1359.42,10217.72,67.35000000000011,7.4599999999991295
Jul 2018,377.45,15.14,44.89,34.72,53.25,32.51,0.22,0.03,16.21,0,4.32,0,346.1,0.24,31.71,16.16,394.22,1404.41,10215.36,44.99,-2.3599999999987595
Aug 2018,123.76,4.96,39.81,24.81,52.9,36.98,0.22,0.03,5.31,0,3.83,0,113.48,0.21,31.51,14.17,159.38,1393.63,10219.53,-10.78,4.17000000000007
Sep 2018,218.38,8.76,33.13,22.42,33.26,17.16,0.22,0.03,9.38,0,3.19,0,200.24,0.18,20.33,10.7,231.45,1378.23,10214.32,-15.4000000000001,-5.21000000000095
Oct 2018,307.37,12.33,39.62,53.3,8.93,14.31,0.22,0.03,13.2,0,3.81,0,281.84,0.21,6.48,4.51,293.05,1374.18,10216.0,-4.04999999999995,1.68000000000029
Nov 2018,199.64,8.01,39.62,48.13,5.91,10.45,0.22,0.03,8.57,0,3.81,0,183.06,0.21,4.76,0.0,188.03,1362.51,10228.31,-11.6700000000001,12.3099999999995
Dec 2018,118.99,4.77,35.09,91.78,5.91,61.4,0.22,0.03,5.11,0,3.38,0,109.11,0.19,4.76,0.0,114.06,1353.41,10240.51,-9.09999999999991,12.2000000000007
Jan 2019,146.86,5.89,33.8,36.2,5.91,5.86,0.22,0.03,6.31,0,3.25,0,134.67,0.18,4.76,0.0,139.61,1293.35,10248.81,-60.0600000000002,8.299999999999269
Feb 2019,433.05,17.37,36.13,73.1,5.91,29.18,0.22,0.03,18.59,0,3.48,0,397.09,0.19,4.76,0.0,402.05,1288.82,10258.18,-4.529999999999969,9.3700000000008
Mar 2019,87.59,3.51,61.8,57.1,5.91,3.98,0.22,0.03,3.76,0,5.95,0,80.31,0.33,4.76,0.0,85.41,1260.98,10280.06,-27.8399999999999,21.8799999999992
Apr 2019,187.55,7.52,166.62,118.87,39.71,1.37,0.22,0.03,8.05,0,16.04,0,171.98,0.9,4.8,1.17,178.85,1258.34,10289.58,-2.6400000000001,9.52000000000044
May 2019,55.36,2.22,229.68,124.03,95.38,10.87,0.22,0.03,2.38,0,22.12,0,50.77,1.23,17.35,11.84,81.19,1292.07,10312.31,33.73,22.7299999999996
Jun 2019,29.82,1.2,132.13,31.02,108.35,19.48,0.22,0.03,1.28,0,12.72,0,27.35,0.71,28.74,15.48,72.28,1359.42,10324.77,67.35000000000011,12.460000000000901
Jul 2019,387.58,15.54,42.93,35.37,53.44,34.71,0.23,0.03,16.64,0,4.13,0,355.4,0.23,31.83,16.26,403.71,1419.75,10323.1,60.32999999999989,-1.67000000000007
Aug 2019,564.45,22.64,38.45,43.27,38.4,24.48,0.23,0.03,24.24,0,3.7,0,517.57,0.21,23.26,13.43,554.47,1406.85,10327.43,-12.9000000000001,4.32999999999993
