date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,76.14,1.31,1.13,1.32,1.07,0.07,0.21,0.89,0.53,0,0.11,0,74.29,0.01,2.61,0.0,76.91,194.18,99.65,0.0,0.0
Feb 2016,158.79,2.74,2.44,4.01,0.98,0.07,0.21,0.89,1.11,0,0.23,0,154.94,0.03,2.36,0.0,157.33,191.9,100.96,-2.28,1.30999999999999
Mar 2016,94.38,1.63,1.28,1.89,1.13,0.24,0.29,0.89,0.66,0,0.12,0,92.09,0.01,3.31,0.03,95.45,189.77,102.98,-2.13,2.0200000000000102
Apr 2016,14.67,0.25,9.87,6.07,9.08,6.07,4.28,0.89,0.1,0,0.93,0,14.31,0.11,8.67,0.96,24.06,186.75,104.33,-3.0200000000000093,1.3499999999999899
May 2016,624.63,10.79,10.37,12.74,10.55,3.23,1.67,0.89,4.37,0,0.98,0,609.47,0.12,6.03,1.2,616.81,184.48,101.02,-2.27000000000001,-3.31
Jun 2016,81.06,1.4,17.61,9.15,17.14,9.15,5.91,0.89,0.57,0,1.67,0,79.09,0.2,11.59,1.49,92.38,186.54,104.4,2.06,3.3800000000000097
Jul 2016,397.16,6.86,12.38,11.04,15.71,8.83,4.23,0.89,2.78,0,1.17,0,387.52,0.14,11.18,1.52,400.36,187.96,100.12,1.42000000000002,-4.28
Aug 2016,311.1,5.37,12.16,8.43,16.09,8.28,3.98,0.89,2.18,0,1.15,0,303.55,0.14,10.08,1.26,315.04,187.01,99.21,-0.9500000000000172,-0.910000000000011
Sep 2016,267.61,4.62,11.28,9.98,12.05,7.33,3.54,0.89,1.87,0,1.07,0,261.12,0.13,9.15,1.07,271.47,187.83,98.19,0.8200000000000219,-1.02
Oct 2016,446.44,7.71,6.2,11.14,2.98,0.87,0.58,0.89,3.12,0,0.59,0,435.6,0.07,3.18,0.49,439.35,186.05,97.41,-1.78,-0.780000000000001
Nov 2016,97.87,1.69,0.99,1.92,0.73,0.07,0.21,0.89,0.68,0,0.09,0,95.5,0.01,2.12,0.0,97.62,184.67,100.93,-1.3800000000000199,3.5200000000000093
Dec 2016,74.11,1.28,0.9,1.62,0.53,0.07,0.21,0.89,0.52,0,0.08,0,72.31,0.01,1.47,0.0,73.79,182.54,102.39,-2.13,1.45999999999999
Jan 2017,51.39,0.89,0.85,0.94,0.78,0.07,0.21,0.89,0.36,0,0.08,0,50.15,0.01,2.18,0.0,52.34,180.85,103.67,-1.69,1.28
Feb 2017,124.37,2.15,2.15,3.35,0.79,0.07,0.21,0.89,0.87,0,0.2,0,121.35,0.02,2.44,0.0,123.81,178.69,104.78,-2.16,1.11
Mar 2017,244.58,4.22,12.31,9.21,6.1,0.08,0.22,0.89,1.71,0,1.17,0,238.65,0.14,2.94,0.01,241.74,176.3,106.53,-2.3899999999999904,1.75
Apr 2017,492.31,8.5,25.76,25.32,8.2,1.99,1.09,0.89,3.44,0,2.44,0,480.37,0.3,4.36,0.89,485.91,178.7,110.07,2.39999999999998,3.5399999999999903
May 2017,602.11,10.4,39.38,27.21,21.89,3.5,1.79,0.89,4.21,0,3.73,0,587.5,0.45,6.24,1.21,595.4,180.76,114.86,2.06,4.79000000000001
Jun 2017,218.9,3.78,14.91,9.02,17.11,9.02,5.08,0.89,1.53,0,1.41,0,213.59,0.17,11.28,1.52,226.56,193.8,120.69,13.04,5.83
Jul 2017,267.19,4.61,15.18,10.61,18.11,10.53,5.01,0.89,1.87,0,1.44,0,260.71,0.17,12.69,1.52,275.08,194.8,117.93,1.0,-2.7599999999999905
Aug 2017,409.28,7.07,10.54,9.1,14.81,7.42,3.58,0.89,2.86,0,1.0,0,399.34,0.12,9.58,1.32,410.37,193.81,115.6,-0.9900000000000091,-2.33000000000001
Sep 2017,359.28,6.2,14.71,14.46,10.86,5.97,2.92,0.89,2.51,0,1.39,0,350.56,0.17,8.03,1.05,359.8,194.31,115.45,0.5,-0.149999999999991
Oct 2017,121.61,2.1,8.83,6.92,9.2,6.13,2.99,0.89,0.85,0,0.84,0,118.66,0.1,7.84,0.66,127.27,193.21,116.27,-1.09999999999999,0.8199999999999928
Nov 2017,76.61,1.32,3.06,2.68,1.45,0.07,0.21,0.89,0.54,0,0.29,0,74.76,0.04,2.38,0.0,77.18,190.54,115.19,-2.67000000000002,-1.08
Dec 2017,55.82,0.96,3.64,3.01,1.28,0.07,0.21,0.89,0.39,0,0.34,0,54.46,0.04,1.57,0.0,56.07,188.86,116.69,-1.67999999999998,1.5
Jan 2018,39.4,0.68,3.87,1.36,2.85,0.07,0.21,0.89,0.28,0,0.37,0,38.45,0.04,2.0,0.0,40.49,187.82,118.11,-1.04000000000002,1.42
Feb 2018,54.74,0.95,2.99,3.0,0.69,0.07,0.21,0.89,0.38,0,0.28,0,53.41,0.03,2.42,0.0,55.87,187.93,119.42,0.110000000000014,1.31
Mar 2018,66.66,1.15,3.1,2.4,1.68,0.16,0.25,0.89,0.47,0,0.29,0,65.04,0.04,3.1,0.01,68.19,185.46,120.77,-2.47,1.3499999999999899
Apr 2018,200.33,3.46,16.58,12.66,12.31,6.69,3.25,0.89,1.4,0,1.57,0,195.47,0.19,8.78,1.04,205.48,183.24,122.15,-2.22,1.38000000000001
May 2018,78.01,1.35,14.46,6.99,14.27,6.99,5.36,0.89,0.55,0,1.37,0,76.11,0.17,10.58,1.39,88.26,182.44,121.73,-0.800000000000011,-0.42000000000000204
Jun 2018,265.54,4.59,14.55,9.24,17.59,9.24,4.92,0.89,1.86,0,1.38,0,259.1,0.17,11.33,1.56,272.16,183.6,117.77,1.16,-3.9600000000000097
Jul 2018,389.25,6.72,12.37,10.99,15.52,8.72,4.18,0.89,2.72,0,1.17,0,379.81,0.14,10.97,1.49,392.4,184.65,115.42,1.05000000000001,-2.3499999999999903
Aug 2018,456.86,7.89,11.36,10.46,14.54,6.96,3.37,0.89,3.2,0,1.07,0,445.78,0.13,9.14,1.34,456.39,183.77,114.53,-0.8799999999999949,-0.890000000000001
Sep 2018,168.49,2.91,11.15,8.21,12.87,8.21,3.99,0.89,1.18,0,1.05,0,164.41,0.13,9.72,1.01,175.27,184.69,114.98,0.919999999999987,0.45000000000000295
Oct 2018,421.51,7.28,5.72,9.65,5.6,2.86,1.49,0.89,2.95,0,0.54,0,411.28,0.07,5.18,0.75,417.28,182.73,113.1,-1.9600000000000102,-1.88000000000001
Nov 2018,55.13,0.95,5.07,3.41,2.18,0.11,0.23,0.89,0.39,0,0.48,0,53.8,0.06,2.21,0.0,56.07,180.89,115.24,-1.84,2.14
Dec 2018,143.37,2.48,8.1,6.9,2.89,0.07,0.21,0.89,1.0,0,0.77,0,139.89,0.09,1.4,0.0,141.38,180.09,116.76,-0.7999999999999828,1.5200000000000102
Jan 2019,22.89,0.4,2.54,0.88,1.86,0.07,0.21,0.89,0.16,0,0.24,0,22.33,0.03,2.29,0.0,24.65,180.83,119.21,0.7400000000000091,2.44999999999999
Feb 2019,235.69,4.07,15.83,14.87,3.42,0.07,0.21,0.89,1.65,0,1.5,0,229.97,0.18,2.09,0.0,232.24,179.65,120.29,-1.18000000000001,1.08000000000001
Mar 2019,3.66,0.06,0.16,0.19,0.21,0.19,0.35,0.89,0.03,0,0.02,0,3.57,0.0,3.21,0.03,6.82,180.24,124.11,0.5900000000000029,3.8199999999999905
Apr 2019,242.34,4.18,14.39,12.38,9.38,4.71,2.34,0.89,1.7,0,1.36,0,236.46,0.17,6.41,0.82,243.85,176.5,124.66,-3.7400000000000095,0.549999999999997
May 2019,236.15,4.08,24.31,12.64,21.51,8.35,4.01,0.89,1.65,0,2.3,0,230.42,0.28,10.43,1.28,242.41,176.21,125.45,-0.289999999999992,0.7900000000000059
Jun 2019,155.28,2.68,16.47,9.28,17.4,9.28,5.68,0.89,1.09,0,1.56,0,151.51,0.19,11.72,1.58,165.01,182.06,125.01,5.849999999999991,-0.439999999999998
Jul 2019,138.34,2.39,18.27,11.22,18.72,11.22,6.04,0.89,0.97,0,1.73,0,134.99,0.21,13.6,1.59,150.39,183.25,121.28,1.19,-3.73
Aug 2019,433.68,7.49,11.75,10.24,15.07,7.33,3.54,0.89,3.03,0,1.11,0,423.16,0.14,9.45,1.36,434.1,182.3,117.24,-0.949999999999989,-4.04000000000001
Sep 2019,61.35,1.06,14.44,9.3,13.96,9.3,5.1,0.89,0.43,0,1.37,0,59.86,0.17,11.23,1.13,72.39,183.24,117.38,0.939999999999998,0.140000000000001
