Date,WPR,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Northeast,GFDL,No Change,High,45.43,0.21,0.19,0.26,0.2,0.41,2.22,0.9,0.16,0,0.35,0,45.05,0.01,4.07,0,49.13,194.18,-17724.97,0,0,Low
Feb 2016,Northeast,GFDL,No Change,High,35.73,0.2,0.08,0.29,0.06,0.41,2.22,0.9,0.13,0,0.34,0,35.4,0,4,0,39.4,191.21,-17725.77,-2.97,-0.799999999999272,Low
Mar 2016,Northeast,GFDL,No Change,High,445.05,2.5,1.01,2.64,0.93,0.41,2.22,0.9,1.6,0,0.3,0,440.96,0.05,4.51,0,445.51,188.16,-17726.61,-3.05000000000001,-0.840000000000146,Low
Apr 2016,Northeast,GFDL,No Change,High,74.7,0.3,8.64,5.72,7.9,5.91,90,23.93,0.27,0,1.13,0,74.13,0.11,71.02,2.31,147.57,185.49,-17726.03,-2.66999999999999,0.580000000001746,Low
May 2016,Northeast,GFDL,No Change,High,422.43,2.3,14.21,7.46,14.6,7.32,105.49,28.18,1.52,0,1.57,0,418.62,0.19,83.13,5.04,506.98,182.53,-17793.02,-2.96000000000001,-66.9900000000016,Low
Jun 2016,Northeast,GFDL,No Change,High,207.77,1.1,19.09,9.82,18.07,10.01,139.29,37.11,0.75,0,2.08,0,205.92,0.24,108.88,6.64,321.68,183.99,-17872.28,1.46000000000001,-79.2599999999984,Low
Jul 2016,Northeast,GFDL,No Change,High,1877.66,10.44,11.48,13.79,15.79,8.97,78.06,20.91,6.74,0,1.06,0,1860.48,0.25,64.76,6.41,1931.89,185.34,-17978.26,1.34999999999999,-105.98,Low
Aug 2016,Northeast,GFDL,No Change,High,1641.79,9.13,9.56,10.3,15.89,8.57,82.97,22.23,5.89,0,0.84,0,1626.77,0.23,67.58,5.29,1699.87,184.55,-18034.02,-0.789999999999992,-55.760000000002,Low
Sep 2016,Northeast,GFDL,No Change,High,573.08,2.95,13.35,9.84,14.46,9.68,94.21,25.19,2.06,0,1.48,0,568.07,0.2,76.07,4.58,648.92,185.03,-18093.32,0.47999999999999,-59.2999999999993,Low
Oct 2016,Northeast,GFDL,No Change,High,332.65,1.91,8.98,6.85,9.79,7,64.72,17.33,1.19,0,1.14,0,329.54,0.12,52.92,1.96,384.55,182.76,-18163.39,-2.27000000000001,-70.0699999999997,Low
Nov 2016,Northeast,GFDL,No Change,High,831.92,5.02,2.2,5.32,1.84,0.41,2.22,0.9,2.99,0,0.38,0,823.92,0.08,3.76,0,827.76,180.01,-18210.41,-2.75,-47.0200000000004,Low
Dec 2016,Northeast,GFDL,No Change,High,141.45,0.84,0.36,0.99,0.27,0.41,2.22,0.9,0.51,0,0.35,0,140.1,0.01,3.17,0,143.28,179,-18208.36,-1.00999999999999,2.04999999999927,Low
Jan 2017,Northeast,GFDL,No Change,High,517.05,3.11,1.43,2.76,1.75,0.41,2.22,0.9,1.86,0,0.39,0,512.08,0.04,3.5,0,515.63,177.01,-18208.82,-1.99000000000001,-0.459999999999127,Low
Feb 2017,Northeast,GFDL,No Change,High,465.67,2.99,1.42,3.62,0.76,0.41,2.22,0.9,1.67,0,0.39,0,461.01,0.04,3.27,0,464.32,176.16,-18207.88,-0.849999999999994,0.93999999999869,Low
Mar 2017,Northeast,GFDL,No Change,High,1043.53,6.23,2.92,6.56,2.5,0.41,2.22,0.9,3.75,0,0.4,0,1033.55,0.1,4.33,0,1037.98,174.55,-18207.13,-1.60999999999999,0.75,Low
Apr 2017,Northeast,GFDL,No Change,High,648.79,3.67,3.45,4.66,5.9,4.02,41.57,11.21,2.33,0,0.49,0,642.79,0.09,34.9,1.12,678.89,173.63,-18204.3,-0.920000000000016,2.83000000000175,Low
May 2017,Northeast,GFDL,No Change,High,1907.13,10.35,5.32,9.33,11.69,5.95,52.25,14.05,6.85,0,0.41,0,1889.93,0.18,43.92,4.74,1938.77,170.97,-18232.96,-2.66,-28.6599999999999,Low
Jun 2017,Northeast,GFDL,No Change,High,928.47,5.09,14.71,9.85,17.71,9.57,97.75,26.09,3.33,0,1.58,0,920.05,0.22,78.44,5.85,1004.56,170.99,-18268.64,0.0200000000000102,-35.6800000000003,Low
Jul 2017,Northeast,GFDL,No Change,High,2038.87,11.3,9.98,13.85,14.51,8.2,71.39,19.14,7.32,0,0.88,0,2020.25,0.24,59.24,6.08,2085.82,172.35,-18341.23,1.35999999999999,-72.5900000000001,Low
Aug 2017,Northeast,GFDL,No Change,High,1624.14,8.66,9.51,10.07,15.5,8.49,81.06,21.68,5.83,0,0.86,0,1609.65,0.22,66,5.44,1681.31,171.66,-18391.36,-0.689999999999998,-50.130000000001,Low
Sep 2017,Northeast,GFDL,No Change,High,994.52,5.32,10.59,10.1,12.66,8.18,71.23,19.09,3.57,0,1.15,0,985.63,0.18,58.38,4.12,1048.32,172.05,-18449.49,0.390000000000015,-58.130000000001,Low
Oct 2017,Northeast,GFDL,No Change,High,1663.58,9.72,15.19,21.31,2.24,0.43,2.27,0.91,5.97,0,1.53,0,1647.89,0.26,3.88,0.46,1652.49,170.3,-18501.03,-1.75,-51.5399999999972,Low
Nov 2017,Northeast,GFDL,No Change,High,391.74,2.22,7.89,6.01,3.42,0.41,2.22,0.9,1.41,0,0.98,0,388.11,0.12,3.48,0,391.72,169.58,-18495.34,-0.719999999999999,5.68999999999869,Low
Dec 2017,Northeast,GFDL,No Change,High,394.59,2.03,2.68,3.33,1.19,0.41,2.22,0.9,1.42,0,0.56,0,391.14,0.05,3.01,0,394.2,170.42,-18494.28,0.839999999999975,1.06000000000131,Low
Jan 2018,Northeast,GFDL,No Change,High,384.46,2.33,4.85,2.83,3.95,0.41,2.22,0.9,1.38,0,0.74,0,380.75,0.08,3.6,0,384.42,169.5,-18493.62,-0.919999999999987,0.659999999999854,Low
Feb 2018,Northeast,GFDL,No Change,High,424.08,2.51,5.3,6.08,1.3,0.41,2.22,0.9,1.52,0,0.77,0,420.04,0.08,3.38,0,423.5,170.75,-18492.82,1.25,0.799999999999272,Low
Mar 2018,Northeast,GFDL,No Change,High,482.04,2.91,8.54,6.48,4.22,0.41,2.22,0.9,1.73,0,1.04,0,477.4,0.13,3.98,0,481.51,169.58,-18491.85,-1.16999999999999,0.970000000001164,Low
Apr 2018,Northeast,GFDL,No Change,High,571.88,3.34,10.45,9.28,7.49,4.33,39.62,10.7,2.05,0,1.2,0,566.49,0.16,33.67,0.81,601.13,170.72,-18490.39,1.13999999999999,1.45999999999913,Low
May 2018,Northeast,GFDL,No Change,High,1080.55,5.62,12.71,8.67,15.91,7.77,77.15,20.64,3.88,0,1.3,0,1071.05,0.21,62.8,4.85,1138.91,169.14,-18516.88,-1.58000000000001,-26.4900000000016,Low
Jun 2018,Northeast,GFDL,No Change,High,1163.68,6.73,13.55,10.16,18.19,9.73,91.57,24.48,4.18,0,1.44,0,1152.77,0.22,74.26,5.92,1233.17,171.01,-18573.07,1.87,-56.1899999999987,Low
Jul 2018,Northeast,GFDL,No Change,High,1134.63,6.74,14.35,11.94,18.57,11.11,108.41,29,4.07,0,1.44,0,1123.82,0.25,87.68,6.44,1218.18,172.29,-18640.46,1.28,-67.3899999999994,Low
Aug 2018,Northeast,GFDL,No Change,High,1330.37,7.46,12.15,10.31,17,9.12,90.31,24.16,4.78,0,1.18,0,1318.13,0.23,73.06,5.5,1396.92,171.49,-18720.8,-0.799999999999983,-80.3400000000001,Low
Sep 2018,Northeast,GFDL,No Change,High,2153.11,11.94,7.58,14.72,8.57,4.67,36.59,9.93,7.73,0,0.69,0,2133.45,0.2,31.61,4.32,2169.58,172.45,-18786.49,0.95999999999998,-65.6900000000023,Low
Oct 2018,Northeast,GFDL,No Change,High,1040.8,5.72,5.3,7.77,7.11,4.69,32.41,8.74,3.74,0,0.72,0,1031.34,0.11,28.25,1.81,1061.51,171.4,-18809.04,-1.04999999999998,-22.5499999999993,Low
Nov 2018,Northeast,GFDL,No Change,High,341.05,1.96,0.82,2.12,0.7,0.41,2.22,0.9,1.22,0,0.35,0,337.86,0.03,3.52,0,341.42,169.24,-18830.06,-2.16,-21.0200000000004,Low
Dec 2018,Northeast,GFDL,No Change,High,307.07,1.93,3.99,4.07,1.54,0.41,2.22,0.9,1.1,0,0.66,0,304.04,0.07,3.5,0,307.6,167.32,-18829.81,-1.92000000000002,0.25,Low
Jan 2019,Northeast,GFDL,No Change,High,298.07,1.75,4.1,2.25,3.28,0.41,2.23,0.9,1.07,0,0.68,0,295.24,0.06,3.48,0,298.79,166.27,-18829.37,-1.04999999999998,0.440000000002328,Low
Feb 2019,Northeast,GFDL,No Change,High,274,1.55,6.06,5.84,1.24,0.41,2.23,0.9,0.98,0,0.86,0,271.46,0.09,4.1,0,275.65,166.98,-18828.95,0.70999999999998,0.419999999998254,Low
Mar 2019,Northeast,GFDL,No Change,High,133.67,0.72,1.22,1.09,1.6,1.19,13.51,3.84,0.48,0,0.42,0,132.47,0.03,13.37,0.18,146.04,165.03,-18828.43,-1.94999999999999,0.520000000000437,Low
Apr 2019,Northeast,GFDL,No Change,High,847.57,4.91,22.1,18.39,13.04,6.96,66.17,17.71,3.04,0,2.22,0,839.62,0.31,54.15,1.64,895.72,161.74,-18837.38,-3.28999999999999,-8.95000000000073,Low
May 2019,Northeast,GFDL,No Change,High,967.72,5.01,8.9,7.21,11.92,6.34,80.86,21.61,3.47,0,0.95,0,959.24,0.17,64.38,4.55,1028.34,162.13,-18882.22,0.389999999999986,-44.8400000000001,Low
Jun 2019,Northeast,GFDL,No Change,High,651.09,3.53,16.73,10.11,18.01,9.88,118.97,31.71,2.34,0,1.79,0,645.22,0.23,93.9,6.49,745.85,162.58,-18941.59,0.450000000000017,-59.369999999999,Low
Jul 2019,Northeast,GFDL,No Change,High,1374.88,7.78,13.83,12.62,18.56,11.14,107.8,28.8,4.93,0,1.3,0,1362.17,0.26,87.24,6.5,1456.17,164.06,-19031.21,1.47999999999999,-89.619999999999,Low
Aug 2019,Northeast,GFDL,No Change,High,4595.8,26.54,35.96,42.81,19.76,3.51,32.43,8.87,16.5,0,2.74,0,4552.76,0.71,28.09,5.13,4586.69,163.24,-19110.47,-0.819999999999993,-79.260000000002,Low
Sep 2019,Northeast,GFDL,No Change,High,2161.38,11.48,22.79,26.61,9.82,4.63,33.47,9.07,7.76,0,2.08,0,2142.14,0.39,29.17,3.99,2175.69,174.96,-19119.93,11.72,-9.45999999999913,Low
Oct 2019,Northeast,GFDL,No Change,High,1313.63,7.69,21.36,24.14,5.14,2.64,27.24,7.49,4.72,0,2.07,0,1301.23,0.33,23.35,0.85,1325.76,175.38,-19138.49,0.419999999999987,-18.5600000000013,Low
Nov 2019,Northeast,GFDL,No Change,High,120.14,0.61,2.95,2.1,1.25,0.41,2.23,0.9,0.43,0,0.59,0,119.1,0.04,3.89,0,123.03,174.28,-19152.3,-1.09999999999999,-13.8099999999977,Low
Dec 2019,Northeast,GFDL,No Change,High,682.32,3.92,7.3,7.68,2.9,0.41,2.23,0.9,2.45,0,0.94,0,675.95,0.12,3.18,0,679.25,172.54,-19152.6,-1.74000000000001,-0.299999999999272,Low
Jan 2020,Northeast,GFDL,No Change,High,79.57,0.41,0.66,0.51,0.57,0.41,2.23,0.9,0.29,0,0.39,0,78.87,0.01,3.44,0,82.33,173.18,-19150.54,0.640000000000015,2.05999999999767,Low
Feb 2020,Northeast,GFDL,No Change,High,346.57,1.99,8.43,7.95,1.71,0.41,2.23,0.9,1.24,0,1.07,0,343.33,0.12,3.64,0,347.08,171.21,-19151.19,-1.97,-0.649999999997817,Low
Mar 2020,Northeast,GFDL,No Change,High,339.08,2.04,4.58,3.91,2.35,0.41,2.23,0.9,1.22,0,0.69,0,335.83,0.08,4.27,0,340.17,170.19,-19150.2,-1.02000000000001,0.989999999997963,Low
Apr 2020,Northeast,GFDL,No Change,High,282.43,1.71,3.82,3.46,4.81,3.45,40.92,11.05,1.01,0,0.64,0,279.71,0.06,33.98,0.66,314.41,169.18,-19149.61,-1.00999999999999,0.590000000000146,Low
May 2020,Northeast,GFDL,No Change,High,1841.42,9.92,32.75,23.02,22.62,6.42,62.06,16.66,6.61,0,2.95,0,1824.89,0.51,51.15,4.47,1881.02,166.44,-19178.49,-2.74000000000001,-28.880000000001,Low
Jun 2020,Northeast,GFDL,No Change,High,1748.97,9.67,14.42,13.57,17.81,8.9,81.55,21.81,6.28,0,1.33,0,1733.02,0.28,66.67,5.89,1805.86,176.89,-19218.8,10.45,-40.3099999999977,Low
Jul 2020,Northeast,GFDL,No Change,High,1451.49,8.62,12.96,13.01,16.89,9.83,96.28,25.79,5.21,0,1.26,0,1437.66,0.24,78.3,6.24,1522.44,178.87,-19276.81,1.98000000000002,-58.010000000002,Low
Aug 2020,Northeast,GFDL,No Change,High,1587.93,9.21,11.27,11.38,15.76,8.01,72.89,19.58,5.7,0,1.13,0,1573.02,0.22,59.94,5.45,1638.63,178.12,-19347.07,-0.75,-70.2599999999984,Low
Sep 2020,Northeast,GFDL,No Change,High,1740.34,9.24,7.51,11.97,9.55,5.69,42.81,11.53,6.25,0,0.74,0,1724.85,0.18,36.51,4.02,1765.57,179.25,-19399.01,1.13,-51.9399999999987,Low
Oct 2020,Northeast,GFDL,No Change,High,17.54,0.09,10.08,6.49,9.1,6.84,69.74,18.62,0.06,0,1.3,0,17.39,0.12,56.24,1.51,75.26,177.87,-19427.32,-1.38,-28.3100000000013,Low
Nov 2020,Northeast,GFDL,No Change,High,17.51,0.09,0.07,0.17,0.06,0.42,2.23,0.9,0.06,0,0.35,0,17.36,0,4.16,0,21.52,175.01,-19478.59,-2.86000000000001,-51.2700000000004,Low
Dec 2020,Northeast,GFDL,No Change,High,11.99,0.06,0.05,0.14,0.04,0.42,2.23,0.9,0.04,0,0.35,0,11.89,0,3.5,0,15.39,171.81,-19479.5,-3.19999999999999,-0.909999999999854,Low
Jan 2021,Northeast,GFDL,No Change,High,46.36,0.26,0.15,0.29,0.18,0.42,2.23,0.9,0.17,0,0.35,0,45.94,0,3.67,0,49.62,169.27,-19480.44,-2.53999999999999,-0.93999999999869,Low
Feb 2021,Northeast,GFDL,No Change,High,81.01,0.5,0.24,0.65,0.14,0.42,2.23,0.9,0.29,0,0.36,0,80.23,0.01,3.9,0,84.14,166.68,-19481.25,-2.59,-0.81000000000131,Low
Mar 2021,Northeast,GFDL,No Change,High,49.81,0.31,5.09,2.33,4.82,2.63,35.03,9.44,0.18,0,0.82,0,49.32,0.06,29.86,0.63,79.88,163.83,-19481.92,-2.84999999999999,-0.669999999998254,Low
Apr 2021,Northeast,GFDL,No Change,High,210.97,1.19,8.05,5.83,8.22,5.96,92.95,24.88,0.76,0,1.05,0,209.02,0.11,72.84,4.23,286.19,161.74,-19507.15,-2.09,-25.2300000000032,Low
May 2021,Northeast,GFDL,No Change,High,603.68,3.35,14.86,8.22,16.21,8.06,105.83,28.27,2.17,0,1.63,0,598.16,0.21,83.88,5.88,688.13,159.23,-19577.64,-2.51000000000002,-70.489999999998,Low
Jun 2021,Northeast,GFDL,No Change,High,795.48,4.28,16.41,10.56,18.14,9.95,120.19,32.04,2.86,0,1.69,0,788.34,0.25,94.86,6.6,890.05,161.06,-19657.29,1.83000000000001,-79.6500000000015,Low
Jul 2021,Northeast,GFDL,No Change,High,868.23,5.06,16.58,12.12,19.17,11.63,119.23,31.84,3.12,0,1.72,0,860.06,0.25,95.66,6.7,962.66,162.55,-19747.5,1.49000000000001,-90.2099999999991,Low
Aug 2021,Northeast,GFDL,No Change,High,523.07,2.75,16.68,9.52,17.31,9.43,116.44,31.06,1.88,0,1.81,0,518.45,0.23,91.8,5.74,616.21,161.83,-19836.75,-0.719999999999999,-89.25,Low
Sep 2021,Northeast,GFDL,No Change,High,1450.62,7.85,8.13,10.95,10.23,6.28,48.17,12.96,5.21,0,0.91,0,1437.56,0.17,40.58,4.15,1482.45,163.29,-19924.19,1.45999999999998,-87.4399999999987,Low
Oct 2021,Northeast,GFDL,No Change,High,266.76,1.48,10.83,7.64,11.18,7.99,74.14,19.84,0.96,0,1.35,0,264.32,0.13,60.27,3.05,327.78,161.87,-19957.42,-1.41999999999999,-33.2299999999996,Low
Nov 2021,Northeast,GFDL,No Change,High,191.84,1.03,0.45,1.14,0.4,0.44,2.27,0.91,0.69,0,0.35,0,190.12,0.02,3.68,0,193.81,159.08,-20012.46,-2.78999999999999,-55.0400000000009,Low
Dec 2021,Northeast,GFDL,No Change,High,248.87,1.52,1.49,2.22,0.73,0.42,2.23,0.9,0.89,0,0.45,0,246.46,0.03,3.35,0,249.84,156.73,-20012.78,-2.35000000000002,-0.319999999999709,Low
Jan 2022,Northeast,GFDL,No Change,High,164.84,0.95,0.6,0.93,0.65,0.42,2.23,0.9,0.59,0,0.38,0,163.29,0.02,3.64,0,166.95,155.02,-20012.77,-1.70999999999998,0.00999999999839929,Low
Feb 2022,Northeast,GFDL,No Change,High,305.91,1.85,0.8,2.25,0.42,0.42,2.23,0.9,1.1,0,0.36,0,302.96,0.03,3.48,0,306.46,152.95,-20013.13,-2.07000000000002,-0.360000000000582,Low
Mar 2022,Northeast,GFDL,No Change,High,202.94,1.16,0.5,1.29,0.46,0.43,2.3,0.92,0.73,0,0.33,0,201.05,0.02,4.23,0,205.31,150.81,-20012.99,-2.13999999999999,0.139999999999418,Low
Apr 2022,Northeast,GFDL,No Change,High,612.43,3.52,6.94,6.63,8.95,6.08,71.44,19.08,2.2,0,0.84,0,606.71,0.12,57.08,1.53,665.44,147.98,-20013.31,-2.83000000000001,-0.319999999999709,Low
May 2022,Northeast,GFDL,No Change,High,1265.67,6.71,6.11,7.52,10.67,6.12,84.32,22.53,4.54,0,0.6,0,1254.42,0.15,66.86,5.3,1326.73,146.13,-20064.16,-1.84999999999999,-50.8499999999985,Low
Jun 2022,Northeast,GFDL,No Change,High,1645.89,9.21,10.41,10.88,16.63,9.09,84.89,22.7,5.91,0,0.97,0,1630.77,0.23,68.74,5.87,1705.6,145.61,-20126.11,-0.519999999999982,-61.9500000000007,Low
Jul 2022,Northeast,GFDL,No Change,High,4603.48,27.29,10.81,29.85,12.24,4.88,43.04,11.66,16.52,0,0.5,0,4559.67,0.39,36.63,6.09,4602.78,146.61,-20187.29,1,-61.1800000000003,Low
Aug 2022,Northeast,GFDL,No Change,High,3079.95,17.72,41.7,38.31,21.5,4.72,45.02,12.21,11.05,0,3.64,0,3051.18,0.68,37.63,5.27,3094.77,148.72,-20207.75,2.10999999999999,-20.4599999999991,Low
Sep 2022,Northeast,GFDL,No Change,High,1443.5,7.55,10.34,12.41,11.23,7,56.85,15.24,5.18,0,1.03,0,1430.77,0.2,47.22,4.07,1482.27,160.69,-20231.13,11.97,-23.380000000001,Low
Oct 2022,Northeast,GFDL,No Change,High,1069.54,5.89,13.6,15.2,7.69,4.99,45.76,12.31,3.84,0,1.37,0,1059.81,0.23,37.94,1.51,1099.49,159.31,-20270.6,-1.38,-39.4699999999975,Low
Nov 2022,Northeast,GFDL,No Change,High,442.33,2.64,8.66,6.68,3.81,0.42,2.23,0.9,1.59,0,1.09,0,438.11,0.13,3.64,0,441.87,157.52,-20300.36,-1.78999999999999,-29.760000000002,Low
Dec 2022,Northeast,GFDL,No Change,High,144.26,0.89,3.2,2.72,1.11,0.42,2.23,0.9,0.52,0,0.62,0,142.86,0.05,3.21,0,146.11,158.6,-20299.01,1.07999999999998,1.35000000000218,Low
Jan 2023,Northeast,GFDL,No Change,High,140.22,0.79,1.37,0.95,1.15,0.42,2.23,0.9,0.5,0,0.45,0,138.93,0.02,3.7,0,142.66,157.42,-20299.2,-1.18000000000001,-0.190000000002328,Low
Feb 2023,Northeast,GFDL,No Change,High,125.86,0.68,1.59,1.82,0.37,0.42,2.23,0.9,0.45,0,0.47,0,124.72,0.03,3.61,0,128.36,155.78,-20299.57,-1.63999999999999,-0.369999999998981,Low
Mar 2023,Northeast,GFDL,No Change,High,1168.41,7.45,15.87,13.72,8.15,0.42,2.26,0.91,4.19,0,1.61,0,1156.76,0.26,4.25,0,1161.28,153.45,-20299.98,-2.33000000000001,-0.409999999999854,Low
Apr 2023,Northeast,GFDL,No Change,High,397.54,2.33,8.28,6.46,9.4,6.42,74.93,19.96,1.43,0,1.05,0,393.78,0.12,59.98,1.85,455.73,158.28,-20295.53,4.83000000000001,4.45000000000073,Low
May 2023,Northeast,GFDL,No Change,High,388.67,2.14,14.26,7.42,14.61,7.42,109.49,29.23,1.4,0,1.6,0,385.13,0.19,85.84,5.47,476.63,156.24,-20349.86,-2.03999999999999,-54.3300000000017,Low
Jun 2023,Northeast,GFDL,No Change,High,283.95,1.51,18.86,9.79,18.4,10.15,130.18,34.67,1.02,0,2.09,0,281.42,0.23,102.01,6.77,390.43,157.85,-20432.59,1.60999999999999,-82.7299999999996,Low
Jul 2023,Northeast,GFDL,No Change,High,2169.51,12.03,10.54,14.98,14.88,8.43,75.84,20.32,7.79,0,0.87,0,2149.7,0.26,62.49,6.31,2218.76,159.6,-20531.76,1.75,-99.1699999999983,Low
Aug 2023,Northeast,GFDL,No Change,High,1080.88,6.1,13.11,9.8,16.94,9.11,92.31,24.69,3.88,0,1.37,0,1070.9,0.22,74.2,5.44,1150.76,159.08,-20584.93,-0.519999999999982,-53.1700000000019,Low
Sep 2023,Northeast,GFDL,No Change,High,1250.29,6.96,7.39,9.62,10.5,6.72,60.54,16.28,4.49,0,0.79,0,1238.84,0.16,49.58,3.83,1292.4,160.31,-20652.74,1.22999999999999,-67.8100000000013,Low
Oct 2023,Northeast,GFDL,No Change,High,546.56,2.88,7.28,6.58,9.01,6.49,59.6,15.94,1.96,0,0.94,0,541.71,0.11,48.71,2.01,592.54,158.79,-20695.55,-1.52000000000001,-42.8099999999977,Low
Nov 2023,Northeast,GFDL,No Change,High,280.08,1.69,0.75,1.84,0.62,0.42,2.23,0.9,1.01,0,0.37,0,277.39,0.02,3.8,0,281.22,156.26,-20738.31,-2.53,-42.760000000002,Low
Dec 2023,Northeast,GFDL,No Change,High,37.57,0.19,0.12,0.3,0.08,0.42,2.23,0.9,0.13,0,0.35,0,37.25,0.01,3.35,0,40.6,153.99,-20738.26,-2.26999999999998,0.0500000000029104,Low
Jan 2024,Northeast,GFDL,No Change,High,100.68,0.57,0.36,0.59,0.4,0.42,2.23,0.9,0.36,0,0.36,0,99.75,0.01,3.6,0,103.36,151.64,-20739.11,-2.35000000000002,-0.850000000002183,Low
Feb 2024,Northeast,GFDL,No Change,High,41.85,0.25,0.17,0.4,0.08,0.42,2.23,0.9,0.15,0,0.36,0,41.45,0,3.76,0,45.21,149.35,-20739.72,-2.28999999999999,-0.610000000000582,Low
Mar 2024,Northeast,GFDL,No Change,High,256.25,1.33,0.72,1.49,0.79,0.6,3.75,1.3,0.92,0,0.33,0,254,0.03,5.46,0.03,259.52,146.58,-20740.55,-2.76999999999998,-0.829999999998108,Low
Apr 2024,Northeast,GFDL,No Change,High,179.94,1.02,10.25,6.66,10.05,6.86,78.61,20.9,0.65,0,1.29,0,178.28,0.13,62.54,1.3,242.24,143.77,-20741.78,-2.81,-1.22999999999956,Low
May 2024,Northeast,GFDL,No Change,High,413.13,2.27,11.77,6.67,12.43,6.59,105.04,28.06,1.48,0,1.36,0,409.38,0.16,81.73,5.05,496.32,142.12,-20798.85,-1.65000000000001,-57.0699999999997,Low
Jun 2024,Northeast,GFDL,No Change,High,907.1,5.53,15.61,10.44,19.05,10.26,106.64,28.51,3.26,0,1.68,0,898.32,0.23,85.08,6.43,990.06,143.22,-20878.05,1.09999999999999,-79.2000000000007,Low
Jul 2024,Northeast,GFDL,No Change,High,1163.39,6.75,14.92,12.42,18.52,11.06,102.59,27.43,4.18,0,1.54,0,1152.47,0.25,83,6.5,1242.21,145.07,-20957.68,1.84999999999999,-79.630000000001,Low
Aug 2024,Northeast,GFDL,No Change,High,1345.68,7.42,9.01,9.27,14.09,8.02,91.71,24.53,4.83,0,0.88,0,1333.43,0.2,72.94,5.56,1412.13,144.69,-21033.63,-0.379999999999995,-75.9500000000007,Low
Sep 2024,Northeast,GFDL,No Change,High,2442.14,12.38,6.95,15.27,7.1,3.83,20.54,5.6,8.77,0,0.57,0,2421,0.21,18.91,3.79,2443.91,145.01,-21100.66,0.319999999999993,-67.0299999999988,Low
Oct 2024,Northeast,GFDL,No Change,High,1766.23,10.42,9.03,16.37,4.04,2.05,18.21,5.07,6.34,0,0.88,0,1749.47,0.21,16.3,1.59,1767.57,144.31,-21110.05,-0.699999999999989,-9.38999999999942,Low
Nov 2024,Northeast,GFDL,No Change,High,56.7,0.2,0.08,0.26,0.08,0.42,2.24,0.9,0.2,0,0.35,0,56.3,0,3.34,0,59.65,143.14,-21117.55,-1.17000000000002,-7.5,Low
Dec 2024,Northeast,GFDL,No Change,High,205.11,1.15,2.57,2.6,0.95,0.42,2.24,0.9,0.74,0,0.55,0,203.22,0.04,2.95,0,206.21,140.79,-21118.33,-2.34999999999999,-0.780000000002474,Low
Jan 2025,Northeast,GFDL,No Change,High,83.97,0.49,0.84,0.62,0.7,0.42,2.24,0.9,0.3,0,0.41,0,83.17,0.02,3.01,0,86.2,139.71,-21118.38,-1.07999999999998,-0.0499999999992724,Low
Feb 2025,Northeast,GFDL,No Change,High,231.76,1.36,1.31,2.19,0.43,0.42,2.24,0.9,0.83,0,0.44,0,229.58,0.03,3.42,0,233.02,138.32,-21119,-1.39000000000001,-0.619999999998981,Low
Mar 2025,Northeast,GFDL,No Change,High,1106.48,6.71,20.85,15.55,10.04,0.42,2.39,0.95,3.97,0,2.06,0,1095.8,0.31,4.16,0.01,1100.28,136.24,-21119.06,-2.07999999999998,-0.0600000000013097,Low
Apr 2025,Northeast,GFDL,No Change,High,876.61,5.12,14.91,13.74,10.29,5.77,56.49,15.17,3.15,0,1.54,0,868.34,0.23,45.87,0.92,915.36,143.16,-21114.48,6.91999999999999,4.58000000000175,Low
May 2025,Northeast,GFDL,No Change,High,881.03,4.67,17.88,9.96,19.62,9.1,88.2,23.57,3.16,0,1.81,0,873.2,0.27,71.17,4.57,949.22,143.13,-21152.03,-0.0300000000000011,-37.5499999999993,Low
Jun 2025,Northeast,GFDL,No Change,High,1424.85,7.93,12.94,11.03,18.22,9.88,93.11,24.86,5.11,0,1.27,0,1411.8,0.23,75.21,6.33,1493.58,147.11,-21216.27,3.98000000000002,-64.2400000000016,Low
Jul 2025,Northeast,GFDL,No Change,High,1176.04,6.9,14.9,12.54,18.77,11.25,109.23,29.2,4.22,0,1.49,0,1164.91,0.25,88.01,6.48,1259.66,148.48,-21284.46,1.36999999999998,-68.1899999999987,Low
Aug 2025,Northeast,GFDL,No Change,High,2002.5,11.39,17.98,17.75,17.39,7.69,76.77,20.62,7.19,0,1.56,0,1983.92,0.35,62.21,5.49,2051.98,148.02,-21365.26,-0.45999999999998,-80.7999999999993,Low
Sep 2025,Northeast,GFDL,No Change,High,1436.93,8.07,16.15,17.83,10.61,6.1,54.34,14.64,5.16,0,1.6,0,1423.7,0.27,44.69,3.88,1472.54,151.66,-21418.16,3.63999999999999,-52.9000000000015,Low
Oct 2025,Northeast,GFDL,No Change,High,268.89,1.57,7.41,5.83,7.99,5.94,62.49,16.75,0.97,0,1,0,266.35,0.1,50.27,1.47,318.2,151.18,-21454.98,-0.47999999999999,-36.8199999999997,Low
