Date,County,Climate_Model,Population_Growth_Rate,Water_Use_Efficiency,SW_W_Public_Water_Supply,SW_W_Domestic,SW_W_Irrigated_Agriculture,SW_W_Livestock,SW_W_Commercial,SW_W_Industrial,SW_W_Mining,SW_W_Power,GW_W_Public_Water_Supply,GW_W_Domestic,GW_W_Irrigated_Agriculture,GW_W_Livestock,GW_W_Commercial,GW_W_Industrial,GW_W_Mining,GW_W_Power,SW_D_Public_Water_Supply,SW_D_Domestic,SW_D_Irrigated_Agriculture,SW_D_Livestock,SW_D_Commercial,SW_D_Industrial,SW_D_Mining,SW_D_Power,GW_D_Public_Water_Supply,GW_D_Domestic,GW_D_Irrigated_Agriculture,GW_D_Livestock,GW_D_Commercial,GW_D_Industrial,GW_D_Mining,GW_D_Power,SW_R_Public_Water_Supply,SW_R_Domestic,SW_R_Irrigated_Agriculture,SW_R_Livestock,SW_R_Commercial,SW_R_Industrial,SW_R_Mining,SW_R_Power,GW_R_Public_Water_Supply,GW_R_Domestic,GW_R_Irrigated_Agriculture,GW_R_Livestock,GW_R_Commercial,GW_R_Industrial,GW_R_Mining,GW_R_Power,Reservoir_Evaporation
Jan 1975,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Feb 1975,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Mar 1975,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Apr 1975,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
May 1975,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Jun 1975,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Jul 1975,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Aug 1975,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Sep 1975,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Oct 1975,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Nov 1975,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Dec 1975,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Jan 1976,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Feb 1976,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Mar 1976,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Apr 1976,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
May 1976,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Jun 1976,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Jul 1976,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Aug 1976,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Sep 1976,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Oct 1976,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Nov 1976,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Dec 1976,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Jan 1977,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Feb 1977,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Mar 1977,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Apr 1977,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
May 1977,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Jun 1977,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Jul 1977,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Aug 1977,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Sep 1977,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Oct 1977,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Nov 1977,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Dec 1977,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Jan 1978,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Feb 1978,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Mar 1978,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Apr 1978,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
May 1978,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Jun 1978,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Jul 1978,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Aug 1978,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Sep 1978,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Oct 1978,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Nov 1978,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Dec 1978,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Jan 1979,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Feb 1979,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Mar 1979,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Apr 1979,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
May 1979,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Jun 1979,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Jul 1979,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Aug 1979,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Sep 1979,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Oct 1979,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Nov 1979,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Dec 1979,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Jan 1980,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Feb 1980,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
Mar 1980,Cibola,Historical,Historical,Historical,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0.000599031,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0
